,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
0,15/04/2020,15,4,2020,49,2,Afghanistan,AF,AFG,37172386.0
1,14/04/2020,14,4,2020,58,3,Afghanistan,AF,AFG,37172386.0
2,13/04/2020,13,4,2020,52,0,Afghanistan,AF,AFG,37172386.0
3,12/04/2020,12,4,2020,34,3,Afghanistan,AF,AFG,37172386.0
4,11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386.0
5,10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386.0
6,09/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386.0
7,08/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386.0
8,07/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386.0
9,06/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386.0
10,05/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386.0
11,04/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386.0
12,03/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386.0
13,02/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386.0
14,01/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386.0
15,31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386.0
16,30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386.0
17,29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386.0
18,28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386.0
19,27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
20,26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386.0
21,25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386.0
22,24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386.0
23,23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386.0
24,22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
25,21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386.0
26,20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
27,19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
28,18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386.0
29,17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386.0
30,16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386.0
31,15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
32,11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
33,08/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386.0
34,02/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
35,01/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386.0
36,29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
37,28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
38,27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
39,26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
40,25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386.0
41,24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
42,23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
43,22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
44,21/02/2020,21,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
45,20/02/2020,20,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
46,19/02/2020,19,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
47,18/02/2020,18,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
48,17/02/2020,17,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
49,16/02/2020,16,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
50,15/02/2020,15,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
51,14/02/2020,14,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
52,13/02/2020,13,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
53,12/02/2020,12,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
54,11/02/2020,11,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
55,10/02/2020,10,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
56,09/02/2020,9,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
57,08/02/2020,8,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
58,07/02/2020,7,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
59,06/02/2020,6,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
60,05/02/2020,5,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
61,04/02/2020,4,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
62,03/02/2020,3,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
63,02/02/2020,2,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
64,01/02/2020,1,2,2020,0,0,Afghanistan,AF,AFG,37172386.0
65,31/01/2020,31,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
66,30/01/2020,30,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
67,29/01/2020,29,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
68,28/01/2020,28,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
69,27/01/2020,27,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
70,26/01/2020,26,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
71,25/01/2020,25,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
72,24/01/2020,24,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
73,23/01/2020,23,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
74,22/01/2020,22,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
75,21/01/2020,21,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
76,20/01/2020,20,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
77,19/01/2020,19,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
78,18/01/2020,18,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
79,17/01/2020,17,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
80,16/01/2020,16,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
81,15/01/2020,15,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
82,14/01/2020,14,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
83,13/01/2020,13,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
84,12/01/2020,12,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
85,11/01/2020,11,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
86,10/01/2020,10,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
87,09/01/2020,9,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
88,08/01/2020,8,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
89,07/01/2020,7,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
90,06/01/2020,6,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
91,05/01/2020,5,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
92,04/01/2020,4,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
93,03/01/2020,3,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
94,02/01/2020,2,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
95,01/01/2020,1,1,2020,0,0,Afghanistan,AF,AFG,37172386.0
96,31/12/2019,31,12,2019,0,0,Afghanistan,AF,AFG,37172386.0
97,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2866376.0
98,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2866376.0
99,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2866376.0
100,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2866376.0
101,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2866376.0
102,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2866376.0
103,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2866376.0
104,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2866376.0
105,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2866376.0
106,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2866376.0
107,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2866376.0
108,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2866376.0
109,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2866376.0
110,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2866376.0
111,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2866376.0
112,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2866376.0
113,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2866376.0
114,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2866376.0
115,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2866376.0
